;;;JAN;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
;Lote I;;6.905,00;6.576,00;;7.430,00;;;6.880,00;;;6.796,37;;;7.093,95;;;7.353,71;;;7.066,56;;;7.080,29;;;7.109,95;;;7.001,49;;;7.063,99;;;84.357,31;;;7.029,78;;
;Lote II;;2.314,00;1.900,00;;2.496,00;;;2.370,00;;;4.536,00;;;4.904,00;;;5.159,00;;;4.830,00;;;4.467,88;;;4.874,05;;;4.998,08;;;4.808,61;;;47.657,62;;;3.971,47;;
;Lote III;;3.174,84;3.104,90;;3.248,00;;;3.125,52;;;3.235,10;;;3.364,99;;;3.472,95;;;3.237,96;;;3.190,20;;;3.174,57;;;3.299,15;;;3.873,94;;;39.502,12;;;3.291,84;;
;Total;;12.393,84;11.580,90;;13.174,00;;;12.375,52;;;14.567,47;;;15.362,94;;;15.985,66;;;15.134,52;;;14.738,37;;;15.158,57;;;15.298,72;;;15.746,54;;;171.517,05;;;14.293,09;;
