;7ª FASE;;;;;;;
;EMPRESA;;;CIDADES;;;Nº DE CERTIFICADOS;
Valor Ambiental;;;Asa Sul;;;128;;
Sustentare;;;Taguatinga;;;18;;
SUMA;;;Park Sul;;;5;;
;Total;;;;;;151;
