UNIDADE DE RECEBIMENTO DE ENTULHO;;;;;
Data Fechamento;Hora de Fechamento;Data Abertura;Hora de Abertura;Tempo Total Fechado;Justificativa
29/1/2018;09h35min;29/01/2018;11h54min;2 horas e 19 minutos;Protesto dos catadores.
29/1/2018;12h10min;29/01/2018;14h05min;1 hora e 55 minutos;Protesto dos catadores.
08/12/2018;07h00min;10/12/2018;13h00min;54 horas;Manutenção da área e ajustes na operação de recebimento de entulhos.
