CTR 2;SCIA, Pátio Ferroviário, CTR 2;Ambiente (2)
;;Recicla Brasília
;;Coorace
P Sul;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU, CEP - 72235-816;Coopere
;;Plasferro
Brazlândia *;AE – n° 02 Lotes I a L – Setor Norte – Área de transbordo do SLU;Acobraz
Paranoá **;Qd. 5 Conj. D Lote 1 e 2 – Paranoá/DF;Recicla Mais Brasil
