DISTRIBUIÇÃO DA RECEITA GERADA PELOS MATERIAIS RECICLÁVEIS COMERCIALIZADOS EM 2023;;;;;;;;;;;;;;
;Família;;;Peso (Kg);;;Total Comercializado (R$)¹;;;Total pago pelo SLU (R$);;;Preço Unitário Médio (R$/Kg);
;Diversos;;576.519,47;;;R$ 54.783,84;;;R$ 194.722,65;;;R$ 0,10;;
;Metal;;2.774.207,17;;;R$ 2.859.387,56;;;R$ 921.555,18;;;R$ 1,03;;
;Papel;;16.803.191,57;;;R$ 5.114.981,92;;;R$ 5.722.309,63;;;R$ 0,30;;
;Plástico;;14.185.506,18;;;R$ 19.152.551,28;;;R$ 4.704.533,73;;;R$ 1,35;;
;Vidro;;5.379.318,58;;;R$ 344.073,34;;;R$ 1.767.766,99;;;R$ 0,06;;
;Total;;;39.718.742,96;;;R$ 27.525.777,94;;;R$ 13.310.888,18;;;R$ 0,69;
