PRINCIPAIS COMPRADORES;;;;;;
COMPRADORES;;PESO;;;PESO COMPRADO;
;;(Ton);;;(%);
CENTCOOP;11.802;;;33,03%;;
CAPITAL RECICLAVEIS;8.368;;;23,42%;;
JOSIVAN BEZERRA DE MENEZ EIRELI;2.063;;;5,77%;;
PARAISO RECICLAGEM EIRELI;1.202;;;3,36%;;
GREEN SOLUCOES EM TECNOLOGIA AMBIENTAL LTDA;1.131;;;3,17%;;
