Execução Financeira – Obras de infraestrutura ASB e Escola Guariroba;;
Obra;Empresa;Valor Total (R$)
Acesso, cercamento e barreira vegetal;NG Engenharia;4.031.104,86
Viário Interno e drenagem de águas pluviais;TRIER Engenharia;15.257.022,29
Construção das edificações de apoio;Sollar Engenharia;5.220.657,49
Linha de Recalque de Chorume;GAE;3.100.000,00
Total Aterro(R$);;27.608.784,64
Escola Classe Guariroba;InfraEngeth;3.767.541,96
Total (Aterro + Escola) (R$);;31.376.326,60
