;DADOS RELATIVOS AOS CONTRATOS COM COOPERATIVAS/ASSOCIAÇÕES;;;;;;;;;;
;COOPERATIVA/ASSOCIAÇÃO;;;TIPO DE CONTRATO;;;NÚMERO DE CATADORES;;;GALPÃO DE TRABALHO / RA DE COLETA;
CRB;;;seletiva;;;4;;;IRR BRAZLÂNDIA / Brazlândia;;
CRV;;;seletiva;;;39;;;GALPÃO PRÓPRIO VARJÃO / Lago Norte e Varjão;;
CTELS;;;seletiva;;;32;;;CTR 1 / Arniqueira;;
Flor do Cerrado;;;seletiva;;;10;;;CTR 1 / Planaltina;;
Ecolimpo;;;seletiva;;;12;;;GALPÃO PRÓPRIO SÃO SEBASTIÃO / São Sebastião;;
Nova Superação;;;seletiva;;;36;;;CTR 2 / SIA;;
Planalto;;;seletiva;;;9;;;GALPÃO PRÓPRIO PLANALTINA / Setor de Mansões Sobradinho II e Fercal;;
R3;;;seletiva;;;21;;;GALPÃO PRÓPRIO SANTA MARIA / Santa Maria;;
Reciclamais;;;seletiva;;;15;;;GALPÃO PRÓPRIO PLANALTINA / Planaltina;;
Reciclo;;;seletiva;;;34;;;CTR 2 / Park Way;;
Vencendo Obstáculos;;;seletiva;;;13;;;CTR 1 / Cruzeiro;;
Acobraz;;;triagem;;;22;;;IRR BRAZLÂNDIA;;
Apcorc;;;triagem;;;116;;;USINA CEILÂNDIA SUL;;
Cataguar;;;triagem;;;75;;;USINA CEILÂNDIA SUL;;
Coopativa;;;triagem;;;20;;;SIA – TRECHO 17;;
Cooperlimpo;;;triagem;;;60;;;USINA ASA SUL e IRR SAAN;;
Cooperfé;;;triagem;;;45;;;IRR SCIA NOVO;;
Coorace;;;triagem;;;35;;;CTR 2;;
Renove;;;triagem;;;98;;;USINA ASA SUL;;
Cootraempocap – ASAS;;;triagem;;;31;;;IRR SAAN;;
Ambiente;;;triagem;;;111;;;CTR 1,2 e SCIA ALUGADO;;
Construir;;;seletiva e triagem;;;31;;;CTR 2 / Colônia Agrícola Samambaia;;
Cooperdife;;;seletiva e triagem;;;23;;;GALPÃO PRÓPRIO SOBRADINHO / Sobradinho I;;
Coopere;;;seletiva e triagem;;;41;;;IRR P SUL / Riacho Fundo I e Riacho Fundo II;;
Coopernoes;;;seletiva e triagem;;;40;;;CTR 1 / SCIA;;
Cortrap;;;seletiva e triagem;;;40;;;IRR SCIA NOVO / Jardim Botânico I;;
Plasferro;;;seletiva e triagem;;;74;;;IRR P SUL / Jardim Botânico III;;
Recicla Brasília;;;seletiva e triagem;;;25;;;CTR 2 / Lago Sul;;
Recicla Mais Brasil;;;seletiva e triagem;;;50;;;IRR PARANOÁ / Paranoá, Itapõa e Jardim Botânico II;;
Recicle a Vida;;;seletiva e triagem;;;68;;;GALPÃO PRÓPRIO CEILÂNDIA / Samambaia;;
Renascer;;;seletiva e triagem;;;35;;;SIA – TRECHO 17 / Candangolândia e N. Bandeirante;;
;TOTAL;;;;;;1.254;;;;
