Manutenção Administrativa;;;;;;;;
Nº;Contrato;Empresa;Data de assinatura/ início da vigência;Objeto;Data do término da vigência;Valor (R$);Executores e Suplentes;OBS
1;22/2010;AR (condomínio);17.09.2010;Aluguel da sede - 6º andar;17.09.2020;MENSAL: R$ 106.654,02 ANUAL: R$ 1.279.848,24;Lucrécia de Carvalho Silva/ Francisco Antonio Otaviano;Vigente
2;01/2013;OI S.A.;19.04.2013;Chamadas telefônicas de longa distância;18.04.2018;MENSAL: R$ 419,09 ANUAL: R$ 5.029,08;Roger Fragoso Souza/ Delano Henrique Sousa Thomé;Encerrado
3;04/2013;GESTEMAQ;26.04.2013;Manutenção do ar condicionado;25.04.2018;MENSAL: R$ 2.869,60 ANUAL: R$ 34.435,20;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Encerrado
4;11/2013;TECNOSET;01.07.2013;Serviços de impressão;30.06.2018;MENSAL: R$ 14.648,51 ANUAL: R$ 175.782,12;Leandro H. Antunes de Carvalho/ Wagner Scott;Encerrado
5;13/2013;W&E DEDETIZAÇÃO;01.10.2013;Controle de pragas urbanas;30.09.2018;MENSAL: R$ 10.592,26 ANUAL: R$ 127.107,10;Francisco Antônio Otaviano/ Lucrécia de Carvalho Silva;Encerrado
6;01/2014;AUTO POSTO MILLENNIUM;16.01.2014;Abastecimento de veículos;15.01.2019;MENSAL: R$ 46.488,00 ANUAL: R$ 557.856,00;Lucrécia de Carvalho Silva/ Adalci Azevedo Valentim;Vigente
7;08/2014;AGENCIA PLÁ (CÁLICE PROPAGANDA LTDA);21.05.2014;Serviços de publicidade;21.05.2019;ANUAL: R$ 1.246.072,50;Márcio Godinho Oliveira/ Patrícia Kelly Kavamoto Vieira/ Luana Fernandes Lemes;Vigente
8;09/2014;ECT;27.05.2014;Prestação de serviços Correios;27.05.2019;MENSAL: R$ 1.500,00 ANUAL: R$ 18.000,00;Paulo Sérgio Ribeiro/ Geovani Lopes Fernandes;Vigente
9;18/2014;CONNECTA;13.10.2014;Locação de veículos;13.10.2019;MENSAL: R$ 49.313,43 ANUAL: R$ 591.761,16;Lucrécia de Carvalho Silva/ Adalci Azevedo Valentim;Vigente
