Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
1;15/2014;GAE/DBO/ CONSTRUBAN;10/09/2014;IMPLANTAÇÃO E MANUTENÇÃO DO ATERRO SANITÁRIO DE BRASÍLIA;16/11/2021;GLOBAL: R$ 93.551.680,00;MARCOS JOSÉ PEREIRA DE OLIVEIRA/ CÍCERO CARLOS GOMES LACERDA/ EDMUNDO PACHECO GADELHA;VIGENTE
2;54/2018;VALOR AMBIENTAL LTDA;05/09/2018;MONITORAMENTO E MANUTENÇÃO DA URE;04/09/2020;MENSAL: R$ 2.007.768,41 ANUAL: R$ 24.093.220,92;VINICIUS FREITAS MURY/ RAFAEL FRANCA JAYME/ JOÃO ALVES DA SILVA/ JELINGTON HENRIQUE DE AZEVEDO;VIGENTE
3;18/2019;VALOR AMBIENTAL LTDA;05/07/2019;SERVIÇO DE COLETA URBANA - LOTE I;05/07/2024;MENSAL: R$: 11.360.883,33 ANUAL: R$: 136.330.559,96;ODÍLIO RAMOS MOURA/ WANDERLEI ANTÔNIO DA SILVA/ FRANCISCO ARI JUNIOR COSTA PEREIRA/ JOAQUINA FONSECA DA SILVA/ DEUSIMAR CARLOS PINTO;VIGENTE
4;19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;SERVIÇO DE COLETA URBANA - LOTE II;05/07/2024;MENSAL: R$: 7.583.331,66 ANUAL: R$: 91.999.979,92;JOÃO EUDES DOS SANTOS/ DIVINO ETERNO RIBEIRO/ ALDEMIR FERREIRA TAVARES/ EDLEUZA DOS SANTOS FREITAS/ FRANCISCO GONÇALVES DE SOUSA/ E SANDRA CORDEIRO DE SOUZA;VIGENTE
5;22/2019;LINS DA COSTA (HYDROS SOLUÇÕES AMBIENTAIS);12/08/2019;TRATAMENTO DE CHORUME NO ASB;08/02/2020;GLOBAL: R$: 2.736.000,00;EDMUNDO PACHECO GADELHA/ CÍCERO CARLOS GOMES LACERDA/ JOÃO BOSCO ELIAS RABELO/ ALAN NUNES DA SILVA/ JOSÉ PAULO LIMA DE LUCENA;VIGENTE
6;23/2019;FRAL CONSULTORIA LTDA;12/08/2019;APOIO À FISCALIZAÇÃO DE SERVIÇO DE IMPLANTAÇÃO, OPERAÇÃO E MANUTENÇÃO DO ATERRO SANITÁRIO DE BRASÍLIA (ASB);08/02/2020;GLOBAL: R$ 148.680,00;EDMUNDO PACHECO GADELHA/ CÍCERO CARLOS GOMES DE LACERDA/ JOÃO BOSCO ELIAS RABELO/ ALAN NUNES DA SILVA/ JOSÉ PAULO LIMA DE LUCENA;VIGENTE
