;EQUIPAMENTOS;;;TRATOR;;;;;;;;;CAMINHÃO;;;;;;;;;
;;;;;;;ESCAVADEIRA;;;RETROESCAVADEIRA;;;;;;CAMINHÃO;;;PÁ;;TOTAL;
;ATERRO SANITÁRIO;;;DE;;;;;;;;;PIPA;;;;;;;;;
;;;;;;;HIDRÁULICA;;;DE PNEUS;;;;;;BASCULANTE;;;CARREGADEIRA;;;
;OESTE;;;ESTEIRA;;;;;;;;;;;;;;;;;;
SOBERANA (Contrato 19/2014) Vigilância;;;-;;;-;;;-;;;-;;;2*;;;-;;;2;
;;;;TRATOR;;;;;;;;;CAMINHÃO;;;;;;;;;
;EQUIPAMENTOS LIXÃO;;;;;;ESCAVADEIRA;;;RETROESCAVADEIRA;;;;;;CAMINHÃO;;;PÁ;;TOTAL;
;;;;DE;;;;;;;;;PIPA;;;;;;;;;
;JÓQUEI;;;;;;HIDRÁULICA;;;DE PNEUS;;;;;;BASCULANTE;;;CARREGADEIRA;;;
;;;;ESTEIRA;;;;;;;;;;;;;;;;;;
VALOR AMBIENTAL (Contrato 07/2012) Operação e manutenção;;;10;;;2;;;1;;;11;;;6;;;2;;;32;
DEFENDER (Contrato 21/2012) Vigilância;;;-;;;-;;;-;;;-;;;3*;;;-;;;3;
TOTAL;;;10;;;2;;;1;;;11;;;11;;;2;;;37;
