;;;;;Curso Internacional de Resposta a Emergências com Produtos Perigosos - HAZMAT em Nível Operações;AMBIPAR;;1;;
;;;;;Oficina de Língua Portuguesa (Gramática);FUNDAÇÃO BRADESCO;;1;;
;;;;;Estratégia de Negócios;;;1;;
;;;;;Microsoft Excel 2016 - Intermediário;;;1;;
;;;;;Microsoft Excel 2016 - Avançado;;;1;;
;;;;;Comunicação Escrita;;;1;;
;;;;;Técnicas De Redação;;;1;;
;;;;;Gerenciamento de Resíduos;IFRS;;1;;
;;;;;Ética no Serviço Público;;;7;;
;;;;;Geologia Ambiental;;;2;;
;;;;;Planejamento Ambiental;;;1;;
;;;;;Projetos: Elaboração e Gestão;;;2;;
;;;;;Planilhas Google: Planilha Eletrônica;;;1;;
;;;;;Conhecendo o Novo Acordo Ortográfico;ILB;;1;;
;;;;;Direito Eleitoral;;;1;;
;;;;;Excelência no Atendimento;;;1;;
;;;;;Ética E Administração Pública;;;2;;
;;;;;Dialogando Sobre a Lei Maria da Penha;;;3;;
;;;;;Ouvidoria Na Administração Pública;;;1;;
;;;;;Direito Administrativo para Gerentes no Setor Público;;;1;;
;;;;;Introdução ao Orçamento Público;;;1;;
;;;;;Gestão Estratégica com Foco na Administração Pública;;;3;;
;;;;;Curso de Técnico em Informática;PRIME CURSOS;;1;;
;;;;;Jardinagem e Paisagismo;CURSOS 24 HORAS;;1;;
;;;;;Reciclagem e Energias Renováveis;;;1;;
;;;;;Educação Ambiental;;;1;;
;;;;;Práticas de Sustentabilidade;CURSO SP;;2;;
;;;;;Desenvolvimento Sustentável;;;2;;
;;;;;Lei Geral de Proteção de Dados Pessoais na Prática;EBSERH;;1;;
;;;;;Desenvolvimento Sustentável;FASUL;;1;;
;;;;;Programa de Capacitação Técnica;FRAL;;3;;
;;;;;Capacitação e Aperfeiçoamento Trabalhando em Equipe;IEB;;1;;
;;;;;Protocolo Administrativo no Serviço Público;ESCON;;1;;
;;;;;Gestão Pública Participativa;AMAZÔNIA CURSOS;;1;;
;;;;;Introdução à Engenharia Ambiental - FAJON;FAJON;;1;;
;;;;;Auxiliar de Manutenção do Programa RENOVADF;SENAI;;1;;
;;;;SUBTOTAL DE SERVIDORES;;;;;361;
;E R T S E M IR T º 4;;CURSOS;;Temas de Destaque das Licitações e Contratos - ZENITE;SLU;;33;;
;;;;;Introdução à Engenharia Ambiental - FAJON;FAJON;;1;;
;;;;;Encontro Técnico Nacional de Auditoria de Obras Públicas - ENAOP 2022 - IBRAOP;IBRAOP;;19;;
;;;;;Aterros Sanitários e Valorização de Resíduos - ABLP;ABLP;;4;;
;;;;;ELABORAÇÃO DE TERMOS DE REFERÊNCIA PARA CONTRATAÇÃO DE BENS E SERVIÇOS - ENAP;ENAP;;1;;
;;;;;Liderança como essência da gestão - ENAP;;;1;;
