DIRETORIAS;Preenchidos;VAGOS;TOTAL
DIRETORIA GERAL;29;4;33
DIRETORIA DE ADMINISTRACAO E FINANCAS;25;3;28
DIRETORIA DE LIMPEZA URBANA;32;8;40
DIRETORIA DE MODERNIZACAO E GESTAO TECNOLOGICA;9;2;11
DIRETORIA TECNICA;8;4;12
;103;21;124
