;DIRETORIAS;;;COM CARGO;;;SEM CARGO;;;TOTAL;
;PRESIDÊNCIA;;36;;;9;;;;45;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;37;;;22;;;;59;
;DIRETORIA DE LIMPEZA URBANA;;60;;;344;;;;404;
;DIRETORIA DE TECNOLOGIA E INOVAÇÃO;;17;;;5;;;;22;
;DIRETORIA TÉCNICA;;20;;;12;;;;32;
;TOTAL;;;170;;;392;;;562;
