;;;;JAN;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
;Lote I;;1.422,52;;1.366,73;;1.482,58;;;1.390,40;;;1.349,26;;;1.325,40;;;1.290,78;;;1.282,84;;;1.298,07;;;1.338,84;;;1.410,44;;;1.539,04;;;16.496,90;;;1.374,74;;
;Lote II;;479,18;;460,12;;500,10;;;467,38;;;498,60;;;491,04;;;498,30;;;484,32;;;458,02;;;468,02;;;512,55;;;599,03;;;5.916,66;;;493,06;;
;Lote III;;745,54;;747,30;;856,25;;;766,87;;;720,79;;;694,04;;;715,86;;;740,75;;;782,38;;;802,08;;;876,50;;;1.003,80;;;9.452,16;;;787,68;;
;Total;;;2.647,24;2.574,15;;;2.838,93;;;2.624,65;;;2.568,65;;;2.510,48;;;2.504,94;;;2.507,91;;;2.538,47;;;2.608,94;;;2.799,49;;;3.141,87;;;31.865,72;;;2.655,48;
