3;19/2019;SUSTENTARE SANEAMENTO S/A;05/07/2019;Serviço de coleta urbana - Lote II;05/10/2024;R$ 481.653.267,00;SANDRA CORDEIRO DE SOUZA / CESÁRIO VERAS FERREIRA DE MESQUITA / DIVINO ETERNO RIBEIRO / ELIZEU EZEQUIEL DOS SANTOS / ALDEMIR FERREIRA TAVARES / MARCUS VINICIUS DE RESENDE MAIA LEITE / MARCELO LOPES VIEIRA BEZERRA / DANIEL MARLON RODRIGUES GUEDES / RANIELLE LINHARIS DA SILVA / ANA CAROLINA PEREIRA DE SOUSA / CAMILA LOPES DOS SANTOS / GABRIEL MIRANDA SERRÃO / TERESA CRISTINA SILVA ALVES / GLEICY KELLEN DOS SANTOS FAUSTINO / ÂNGELO OLIVEIRA LOPES DA SILVA / DANILA TEIXEIRA SANTOS;;
4;54/2018;VALOR AMBIENTAL LTDA;05/09/2019;Monitoramento e manutenção da URE;04/09/2021;R$ 23.558.040,00;VINICIUS DE ABREU MENDONÇA;;
5;24/2019;CONSITA TRATAMENTO DE RESIDUOS S/A;20/09/2019;Serviço de coleta urbana - Lote III;20/09/2024;R$ 113.791.892,04;FRANCISCO ALVES MORAIS/ JOAQUINA CORREIA LACERDA PRIMA / RAIMUNDO MACHADO DOS SANTOS / ESTER DE SOUZA REIS / DEUSIMAR CARLOS PINTO / CARLOS HENRIQUE SILVA;;
6;19/2020;HYDROS SOLUÇÕES AMBIENTAIS LTDA;23/10/2020;Prestação de serviços tratamento de chorume;07/11/2021;23.729.999,96;;LEONARDO YAMADA ARANTES /;
;;;;;;;;ANDRÉA RODRIGUES DE;
;;;;;;;;ALMEIDA / JULIANA FRUTUOSO;
;;;;;;;;GOMES / VICTOR BRUZZI MORAIS;
;;;;;;;;CANDIDO / ANTÔNIO ADILSON;
;;;;;;;;ROSENDO;
