Catação em Área Verde;R$ 686.034,89;R$ 686.416,23;R$ 686.416,23;R$ 686.416,23;R$ 686.416,23;R$ 684.051,91;R$ 686.416,23;R$ 686.416,23;R$ 685.653,55;R$ 684.738,32;R$ 686.416,23;R$ 686.416,23
Lavagem de Vias e Logradouros Públicos;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18;R$ 68.814,18
Varrição mecanizada de vias;R$ 259.290,35;R$ 258.083,60;R$ 270.070,65;R$ 269.668,40;R$ 270.312,00;R$ 270.312,00;R$ 270.472,90;R$ 270.553,35;R$ 270.312,00;R$ 275.621,70;R$ 234.535,89;R$ 234.535,89
Pintura Mecanizada de Meio-Fio e Frisagem;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74;R$ 334.332,74
Limpeza Pós Eventos e Coleta de Resíduos de Caixa de Gordura;R$ 81.939,32;R$ 245.817,95;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63;R$ 163.878,63
Unidade de Transbordo de Rejeitos e/ou Resíduos;R$ 654.131,90;R$ 664.512,27;R$ 666.930,05;R$ 591.238,76;R$ 560.694,06;R$ 591.174,10;R$ 565.470,44;R$ 526.855,38;R$ 562.794,43;R$ 580.724,37;R$ 564.983,36;R$ 564.983,36
TOTAL MENSAL;R$ 8.749.746,79;R$ 8.418.305,13;R$ 8.673.876,41;R$ 8.061.983,31;R$ 8.063.215,20;R$ 8.244.280,63;R$ 8.383.149,82;R$ 8.133.628,57;R$ 8.315.430,33;R$ 8.824.907,81;R$ 8.532.680,34;R$ 8.532.680,34
TOTAL 2020;R$ 100.933.884,60;;;;;;;;;;;
