;4º TRIMESTRE;;;;;;;;;;
;TIPO;;;EVENTO;;;INSTITUIÇÃO;;;PARTICPANTES;
CURSO;;;1º Workshop Gestão de Frota;;;EGOV;;;2;;
;;;A arte de receber e de dar feedbacks;;;;;;5;;
;;;Aplicação da gestão de riscos na visão da Nova Lei de Licitações;;;;;;1;;
;;;Ciclo de Debates – Elas conversam sobre a Reforma Tributária – 2ª Edição;;;;;;1;;
;;;Comunicação Não Violenta - Um caminho para além dos rótulos;;;;;;1;;
;;;Crises e urgências em Saúde Mental: uma abordagem interdisciplinar;;;;;;1;;
;;;Encontro de Gestão de Pessoas - Turma 1/2025;;;;;;4;;
;;;Felicidade e realização pessoal;;;;;;1;;
;;;FluêncIA - Noções básicas de Inteligência Artificial;;;;;;1;;
;;;Gestão e Fiscalização de Contratos;;;;;;1;;
;;;Gestão e fiscalização de contratos corporativos;;;;;;1;;
;;;IA + Ouvidoria - Escutar, Entender e Agir com Inteligência;;;;;;1;;
;;;Inteligência Artificial no Setor Público: técnicas, riscos e aplicações;;;;;;2;;
;;;Jornada Regional de Qualidade de Vida no Trabalho;;;;;;1;;
;;;Lei de Licitações e Contratos – Lei nº 14.133/2021;;;;;;1;;
;;;Lei Geral de Proteção de Dados - Legislação e Implementação;;;;;;1;;
;;;Liderando no setor público;;;;;;3;;
;;;Plataforma Parcerias MROSC - Módulo 2: Celebração SEM Chamamento Público;;;;;;1;;
;;;Plataforma Parcerias MROSC - Módulo 3: Execução;;;;;;2;;
;;;Semana Internacional de Controle e Combate à Corrupção;;;;;;3;;
;;;Sistema Eletrônico de Informações (SEI) – Módulo: Administrar – versão 4.0;;;;;;2;;
;;;Sistema Gestão-DF;;;;;;1;;
;;;VII Encontro de Corregedorias do Distrito Federal;;;;;;1;;
;CERTIFICADOS EMITIDOS NO 3º TRIMESTRE;;;;;;;;;38;
