Convênios;FJZB;1;;;;;;10
;CAESB;;;1;;;;
;SES;;;;1;;;
;OUTROS;;;;;2;3;
Termo de Cooperação;BRB;;;1;;;;
;INB;1;;;;;;
Total;;11;11;8;39;38;20;76
