;;;;JAN;;;FEV;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
;Lote I;;11,000;;;11,000;;11,000;;;11,000;;;11,000;;;11,000;;;11,000;;;11,000;;;11,000;;;11,000;;10,999;;;11,000;;;132,00;;;11,00;;
;Lote II;;10,928;;;10,820;;10,869;;;11,000;;;10,441;;;10,864;;;10,869;;;10,862;;;10,872;;;10,866;;12,818;;;10,872;;;132,08;;;11,01;;
;Lote III;;10,940;;;10,930;;10,900;;;10,860;;;10,950;;;10,870;;;10,900;;;10,930;;;10,900;;;10,920;;10,990;;;10,930;;;131,02;;;10,92;;
;Total;;;32,87;;;32,75;;32,77;;;32,86;;;32,39;;;32,73;;;32,77;;;32,79;;;32,77;;32,79;;;34,81;;;32,80;;;395,10;;;32,92;
