;;JAN;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
Lote I;;683,43;836,82;;904,50;;;872,35;;;778,66;;;853,85;;;784,62;;;803,07;;;811,12;;;811,69;;;894,11;;;1.008,31;;;10.042,53;;;836,88;;
;Lote I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lote II;;277,41;258,82;;281,03;;;282,78;;;309,03;;;319,85;;;270,47;;;256,23;;;260,23;;;260,27;;;293,73;;;336,51;;;3.406,36;;;283,86;;
;Lote II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lote III;;575,56;589,40;;526,07;;;524,25;;;426,31;;;513,31;;;474,09;;;498,64;;;504,33;;;549,81;;;649,47;;;681,63;;;6.512,87;;;542,74;;
;Lote III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;1.536,40;1.685,04;;;1.711,60;;1.679,38;;;1.514,00;;;1.687,01;;;;1.529,18;;;1.557,94;;;1.575,68;;;1.621,77;;;1.837,31;;;2.026,45;;;19.961,76;;;1.663,48;
