QUANTITATIVOS DE RESÍDUOS ATERRADOS NO ATERRO SANITÁRIO DE BRASÍLIA (EM TONELADAS);;;
;2018;2019;2020
Média diária (t);2.364,5;2.511,0;2.277,8
Total aterrado (t);749.608,6;800.890,8;820.001,0
