;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;Lote I;3;;3;3;3;3;3;3;3;3;3;3;3;36;3;
;Lote II;8;;8;8;8;8;8;8;8;8;8;8;8;95;8;
;Lote III;2;;2;2;2;2;2;2;2;2;2;2;2;23;2;
;Total;;13;12;13;13;13;13;13;13;13;13;13;13;154;13;
