;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;SET;;OUT;;NOV;;DEZ;;Total;;;Média;
;Lote I;38.179,94;;36.650,75;;38.180,13;;38.001,56;;37.946,49;;36.735,60;;39.633,43;;39.638,53;;36.846,94;39.637,58;;38.244,47;;36.904,10;;;456.599,520;;;38.049,960;
;Lote II;23.959,06;;23.280,38;;23.896,63;;24.148,29;;24.198,69;;23.351,01;;25.078,84;;25.106,40;;23.345,24;25.113,06;;24.161,80;;23.228,43;;;288.867,830;;;24.072,319;
;Lote III;27.400,08;;26.124,78;;24.471,19;;27.350,55;;26.386,20;;26.445,20;;28.535,99;;28.478,40;;25.457,04;27.507,10;;23.285,89;;26.479,52;;;291.442,420;;;26.494,765;
;Total;;89.539,080;;86.055,910;;86.547,950;;89.500,400;;88.531,380;;86.531,810;;93.248,260;;93.223,330;85.649,220;;92.257,740;;85.692,160;;60.132,530;;1.036.909,77;;;88.617,04;
