;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;;;Média;
;Lote I;;14.673,23;13.035,52;13.645,03;12.632,11;13.483,73;13.881,80;13.175,74;13.508,88;14.333,83;12.008,08;10.761,24;12.258,17;157.397,36;;;13.116,45;
;Lote II;;14.684,23;15.505,70;19.252,48;18.733,39;19.800,91;19.745,55;19.965,19;19.904,08;19.505,49;19.589,28;18.787,28;17.765,42;223.239,00;;;18.603,25;
;Lote III;;19.562,53;19.269,76;20.258,09;18.933,41;23.701,71;24.133,78;22.639,77;22.581,71;22.153,71;20.343,90;18.029,61;18.430,96;250.038,94;;;20.836,58;
;Total;;48.919,99;47.810,98;53.155,60;50.298,91;56.986,35;57.761,13;55.780,70;55.994,67;55.993,03;51.941,26;47.578,13;48.454,55;630.675,30;;;52.556,28;
