;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;126,29;;;137,68;;;156,27;;;141,79;;;138,04;;;134,90;;;158,32;;;140,86;;;157,57;;;161,43;;;163,21;;;162,25;;;;1.778,61;;;148,22;
;Asa sul;;121,35;;;90,19;;;159,60;;;99,24;;;100,84;;;114,12;;;136,00;;;118,75;;;115,53;;;113,68;;;102,47;;;115,15;;;;1.386,92;;;115,58;
;Brazlândia 1;;15,25;;;4,67;;;5,79;;;21,33;;;20,28;;;23,40;;;16,51;;;22,60;;;15,37;;;12,30;;;14,02;;;15,12;;;;186,64;;;15,55;
;Brazlândia 2;;17,71;;;8,72;;;2,95;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;4,07;;;0,00;;;7,18;;;12,53;;;;53,16;;;4,43;
;Ceilândia 1;;326,83;;;329,26;;;359,87;;;372,33;;;388,80;;;426,05;;;411,95;;;428,57;;;360,40;;;331,37;;;318,02;;;270,31;;;;4.323,76;;;360,31;
;Ceilândia 2;;285,49;;;208,86;;;104,81;;;76,59;;;79,36;;;69,62;;;91,00;;;110,42;;;143,39;;;134,18;;;215,12;;;223,54;;;;1742,38;;;145,20;
;Gama 1;;326,97;;;281,77;;;195,19;;;224,72;;;232,86;;;246,12;;;271,02;;;282,68;;;302,17;;;284,36;;;324,35;;;333,49;;;;3.305,70;;;275,48;
;Gama 2;;6,43;;;7,06;;;53,46;;;1,55;;;12,80;;;5,77;;;12,24;;;9,95;;;6,21;;;14,22;;;0,00;;;5,89;;;;135,58;;;11,30;
;Guará 1;;216,36;;;223,13;;;271,59;;;265,62;;;289,35;;;224,86;;;252,44;;;251,42;;;342,40;;;314,90;;;227,10;;;186,17;;;;3065,34;;;255,45;
;Guará 2;;156,46;;;124,15;;;60,21;;;16,01;;;11,97;;;45,92;;;46,08;;;101,23;;;57,02;;;117,38;;;105,47;;;204,96;;;;1.046,86;;;87,24;
;Paranoá;;42,17;;;0,00;;;0,00;;;1,61;;;1,97;;;0,00;;;6,65;;;86,03;;;60,66;;;83,28;;;76,57;;;132,57;;;;491,51;;;40,96;
;Planaltina;;122,26;;;79,00;;;189,05;;;184,21;;;127,34;;;139,62;;;126,15;;;128,19;;;136,21;;;102,08;;;153,16;;;170,90;;;;1.658,17;;;138,18;
;Pôr do Sol;;75,55;;;29,71;;;30,65;;;0,00;;;3,79;;;0,00;;;0,00;;;9,96;;;10,71;;;21,71;;;61,85;;;81,56;;;;325,49;;;27,12;
;Recanto das Emas;;60,70;;;25,45;;;95,32;;;99,62;;;169,38;;;120,14;;;128,76;;;129,59;;;97,08;;;101,94;;;82,12;;;100,72;;;;1.210,82;;;100,90;
;Samambaia;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,90;;;55,44;;;76,03;;;96,43;;;85,29;;;84,37;;;;398,46;;;85,88;
;Santa Maria 1;;112,02;;;84,16;;;201,06;;;91,40;;;106,40;;;127,70;;;127,13;;;124,86;;;125,11;;;118,06;;;119,79;;;136,66;;;;1.474,35;;;122,86;
;Santa Maria 2;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;71,62;;;80,22;;;34,28;;;8,58;;;21,85;;;7,05;;;0,00;;;;223,60;;;18,63;
;São Sebastião 1;;96,85;;;20,71;;;213,42;;;148,86;;;220,16;;;44,41;;;24,36;;;36,23;;;16,95;;;23,37;;;32,74;;;19,35;;;;897,41;;;74,78;
;São Sebastião 2;;46,30;;;86,84;;;73,97;;;100,46;;;76,21;;;81,41;;;92,43;;;36,68;;;14,64;;;34,27;;;17,66;;;33,81;;;;694,68;;;57,89;
;Sobradinho I – 1;;10,60;;;61,66;;;11,61;;;7,97;;;7,19;;;0,00;;;2,67;;;157,86;;;82,60;;;56,11;;;93,45;;;158,98;;;;650,70;;;54,23;
;Sobradinho I – 2;;81,09;;;53,87;;;37,69;;;40,39;;;57,42;;;137,14;;;115,89;;;43,71;;;107,73;;;207,75;;;82,03;;;140,17;;;;1.104,88;;;92,07;
;Sobradinho II;;75,18;;;4,89;;;6,57;;;41,92;;;55,97;;;106,70;;;178,79;;;135,26;;;109,37;;;128,72;;;150,39;;;159,23;;;;1.152,99;;;96,08;
;Taguatinga;;266,14;;;329,92;;;414,84;;;305,60;;;325,43;;;290,48;;;282,04;;;319,09;;;243,99;;;353,61;;;289,36;;;301,05;;;;3.721,55;;;310,13;
;TOTAL;;;2.588,00;;;2.191,70;;;2.643,92;;;2.241,22;;;2.425,56;;;2.409,98;;;2.561,55;;;2.763,66;;;2.593,79;;;2.833,00;;;2.728,40;;;3.048,78;;;31.029,56;;;2.638,47;
