;ETAPAS DA CONSTRUÇÃO DO ASB;;;;;;;;;;
;Etapa;;;Área (m²);;;Capacidade (t);;;Vida Útil (anos);
;Etapa 1;;110.000,0;;;1.468.000,0;;;2,5;;
;Etapa 2;;131.850,0;;;2.476.000,0;;;3,0;;
;Etapa 3;;88.000,0;;;1.596.000,0;;;2,6;;
;Etapa 4 – Coroamento;;-;;;2.672.000,0;;;4,4;;
;TOTAL;;;329.850;;;8.212.000;;;12,5;
