;SUMA BRASIL;;;26,63;;;30,15;;;17,33;;;23,41;;;10,89;;;5,43;;;5,39;;;4,37;;;79,18;;;14,85;;;23,60;;;181,18;;;422,41;
;SUSTENTARE SANEAMENTO;;;0,00;;;5,25;;;10,87;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;16,12;
;VALOR AMBIENTAL LTDA;;;323,01;;;235,88;;;239,79;;;267,96;;;101,73;;;67,52;;;68,50;;;82,66;;;138,57;;;135,49;;;228,87;;;446,25;;;2.336,23;
;GALPÃO PRÓPRIO CEILÂNDIA;;;67,73;;;69,47;;;73,84;;;78,14;;;269,96;;;289,51;;;305,73;;;310,38;;;349,04;;;368,45;;;274,19;;;300,58;;;2.757,02;
;SUSTENTARE SANEAMENTO;;;0,00;;;0,00;;;0,00;;;11,34;;;201,12;;;226,62;;;237,75;;;246,78;;;282,10;;;300,42;;;207,73;;;232,81;;;1.946,67;
;RECICLE A VIDA;;;67,73;;;69,47;;;73,84;;;66,80;;;68,84;;;62,89;;;67,98;;;63,60;;;66,94;;;68,03;;;66,46;;;67,77;;;810,35;
;GALPÃO PRÓPRIO SANTA MARIA;;;101,25;;;99,68;;;201,94;;;114,31;;;211,77;;;193,74;;;199,61;;;203,28;;;222,54;;;183,10;;;260,43;;;224,96;;;2.216,61;
;SUMA BRASIL;;;0,00;;;0,00;;;93,13;;;17,13;;;70,02;;;49,82;;;40,26;;;66,64;;;95,58;;;51,79;;;130,99;;;77,08;;;692,44;
;R3;;;101,25;;;99,68;;;108,81;;;97,18;;;141,75;;;143,92;;;159,35;;;136,64;;;126,96;;;131,31;;;129,44;;;147,88;;;1.524,17;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;;32,69;;;26,51;;;46,51;;;24,19;;;65,54;;;65,07;;;48,25;;;42,49;;;50,74;;;50,60;;;37,80;;;44,14;;;534,53;
;VALOR AMBIENTAL LTDA;;;4,30;;;1,30;;;21,73;;;0,00;;;36,19;;;33,83;;;16,61;;;17,36;;;26,31;;;19,60;;;12,06;;;4,00;;;193,29;
;ECOLIMPO;;;28,39;;;25,21;;;24,78;;;24,19;;;29,35;;;31,24;;;31,64;;;25,13;;;24,43;;;31,00;;;25,74;;;40,14;;;341,24;
;GALPÃO PRÓPRIO SOBRADINHO;;;40,12;;;44,63;;;46,08;;;56,46;;;44,00;;;111,26;;;128,15;;;118,40;;;113,31;;;133,99;;;117,54;;;151,57;;;1.105,51;
;VALOR AMBIENTAL LTDA;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;67,02;;;84,39;;;76,32;;;68,69;;;96,44;;;89,08;;;104,37;;;586,31;
;PLANALTO;;;23,17;;;22,51;;;20,11;;;24,29;;;23,73;;;22,67;;;24,27;;;22,58;;;24,62;;;25,97;;;19,56;;;18,82;;;272,30;
