;NÚMERO DE VIAGENS;;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;Remoção PEV;;;Outros;;;Total;
;Janeiro;;1.211;;;4.197;;771;;10.697;;;;16.876;
;Fevereiro;;1.257;;;4.115;;664;;9.047;;;;15.083;
;Março;;1.472;;;4.483;;680;;11.920;;;;18.555;
;Abril;;1.285;;;4.155;;548;;10.148;;;;16.136;
;Maio;;1.403;;;4.707;;602;;12.805;;;;19.517;
;Junho;;1.390;;;4.381;;605;;12.166;;;;18.542;
;Julho;;1.389;;;4.293;;615;;12.783;;;;19.080;
;Agosto;;1.427;;;4.442;;661;;13.940;;;;20.470;
;Setembro;;1.378;;;4.225;;662;;13.503;;;;19.768;
;Outubro;;1.371;;;4.076;;699;;14.147;;;;20.293;
;Novembro;;1.320;;;3.713;;693;;13.981;;;;19.707;
;Dezembro;;1.339;;;4.021;;761;;13.558;;;;19.679;
;TOTAL;;;16.242;;;50.808;7.961;;;148.695;;;223.706;
