;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Asa Sul;;6.029,99;;;5.963,36;;;4.452,53;;;4.491,05;;;4.423,81;;;3.494,04;;;3.174,34;;;3.305,16;;;4.206,26;;;3.054,11;;;4.032,55;;;6.739,34;;;;53.366,54;;;4.447,21;
;Sobradinho;;11.232,06;;;9.820,56;;;9.456,66;;;9.827,46;;;9.598,23;;;8.839,15;;;9.418,67;;;9.161,56;;;9.266,29;;;10.250,41;;;10.213,70;;;12.698,15;;;;119.782,90;;;9.981,91;
;Ceilândia;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;;-;;;-;
;Brazlândia;;1.183,98;;;937,16;;;1.024,04;;;1.050,90;;;969,42;;;1.007,38;;;1.018,92;;;1.038,36;;;1.146,18;;;1.170,82;;;1.164,46;;;1.359,32;;;;13.070,94;;;1.089,25;
;Gama;;15.490,40;;;14.361,29;;;15.738,61;;;15.149,12;;;13.898,73;;;11.614,42;;;11.354,12;;;13.587,36;;;13.513,29;;;12.558,51;;;6.788,03;;;16.864,15;;;;160.918,03;;;13.409,84;
;Total;;;33.936,43;;;31.082,37;;;30.671,84;;;30.518,53;;;28.890,19;;;24.954,99;;;24.966,05;;;27.092,44;;;28.132,02;;;27.033,85;;;22.198,74;;;37.660,96;;;347.138,41;;;28.928,20;
