;;;;JAN;;FEV;;MAR;;ABR;;MAI;;;JUN;;JUL;;AGO;;SET;;OUT;;NOV;;DEZ;Total;;Média;
;NURES;;3.183,38;;3.155,60;;3.339,48;;1.878,65;;1.609,10;;;2.108,14;;2.436,10;;1.945,64;;1.234,26;;1.550,25;;;1.154,40;1.092,29;;19.618,92;1.634,91;;
;(Psul);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
