;;;;e/ou Aterro Sanitário de Brasília - ASB;;;;
8;25/2021;CONÁGUA AMBIENTAL LTDA;05/11/2021;Prestação de serviços de laboratório acreditado pelo INMETRO para avaliar os parâmetros e indicadores da eficácia do tratamento do efluente na Usina de Tratamento de Chorume - UTC, localizada no Aterro Sanitário de Brasília - ASB,;;05/11/2023;GLOBAL R$ 84.240,00;THIAGO BRAGA PINHEIRO e BRUNO DOS SANTOS NEVES
9;41/2022;NORESA NOVO RIO ENERGIA ESERVICOS AMBIENTAIS LTDA (NORESA);04/10/2022;Prestação de serviços de transporte para destinação fi nal de resíduos daconstrução civil, podas e volumosos entregues em 23 Pontos de Entrega Voluntária de Pequenos Volumes(PEV), administração e gestão destas unidades e para a remoção de animais mortos de vias e logradouros públicos;;04/10/2023;GLOBAL R$ 11.487.612,96;THIAGO BRAGA PINHEIRO e BRUNO DOS SANTOS NEVES
