;RESÍDUOS COLETADOS PELA COLETA SELETIVA POR COOPERATIVAS/ASSOCIAÇÕES E EMPRESAS (TON);;;;;;;;;;
;Lote;;;Cooperativa;;;Média mensal de resíduos coletados (ton);;;Quantidade coletadas em 2024 (ton);
;1;;;Cooperdife;;;121,28;;;1.455,31;
;2;;;Recicla Mais Brasil;;;38,21;;;458,47;
;3;;;Ecolimpo;;;25,52;;;306,22;
;4;;;CRV;;;60,38;;;724,56;
;5;;;Recicla Brasilia;;;40,60;;;487,16;
;6;;;Vencendo Obstaculos;;;11,69;;;140,29;
;7;;;Renascer;;;17,09;;;205,12;
;8;;;Coopere;;;33,61;;;403,30;
;9;;;R3;;;85,18;;;1.022,18;
;10;;;Recicle a Vida;;;62,84;;;754,10;
;11;;;CRB;;;29,39;;;352,64;
;12;;;Reciclo;;;13,83;;;165,95;
;13;;;Cortrap;;;35,15;;;421,83;
;14;;;Recicla Mais Brasil II;;;90,19;;;1.082,29;
;15;;;Plasferro;;;32,65;;;391,82;
;16;;;Construir;;;22,11;;;265,35;
;17;;;Recicla Mais;;;17,22;;;206,60;
;18;;;Flor do Cerrado;;;22,51;;;270,11;
;19;;;Planalto;;;14,98;;;179,72;
;20;;;Nova Superacao;;;12,46;;;149,50;
;21;;;Coopernoes;;;15,01;;;180,12;
;22;;;CTELS;;;16,23;;;194,76;
;Total;;;;;;818,12;;;9.817,41;
;Lote;;;Empresa;;;Média mensal de resíduos coletados (ton);;;Quantidade coletadas em 2024 (ton);
;1;;;VALOR AMBIENTAL LTDA;;;2.135,77;;;20.381,63;
;2;;;SUSTENTARE SANEAMENTO;;;1.572,08;;;10.023,57;
;3;;;SUMA BRASIL;;;1.949,59;;;18.564,02;
;Total;;;;;;5.657,44;;;48.969,22;
;TOTAL GERAL;;;;;;6.475,56;;;58.786,63;
