;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;SET;OUT;NOV;DEZ;Total lote;;;Média;
;Lote I;;37.403,43;;;35.629,578;;;40.031,185;;;37.209,068;;;37.370,400;;;38.596,800;;;39.243,470;;;38.231,220;;38.265,630;38.385,260;37.357,280;37.634,420;455.357,739;;37.946,478;;
;Lote II;;22.258,620;;;21.199,872;;;24.049,920;;;21.820,800;;;23.493,600;;;24.304,800;;;25.228,800;;;24.393,600;;24.018,240;24.209,960;24.010,740;24.150,250;283.139,202;;23.594,934;;
;Lote III;;25.711,825;;;24.624,188;;;27.695,346;;;25.646,145;;;25.688,871;;;26.684,788;;;27.617,320;;;26.782,300;;26.751,46;26.803,710;24.572,280;26.630,090;315.208,323;;26.267,360;;
Total;;;85.373,873;;;81.453,638;;;91.776,451;;;84.676,013;;;86.552,871;;;89.586,388;;;92.089,590;;;89.407,120;;89.035,330;89.398,930;85.940,300;88.414,760;1.053.705,264;;87.808,772;;
