COMPOSIÇÃO DE PREENCHIMENTO DE CARGOS COMISSIONADOS;;;
Diretorias;Com cargo;Sem cargo;Total
Presidência;30;1;31
Diretoria de Administração e Finanças;23;2;25
Diretoria de Limpeza Urbana;35;2;37
Diretoria de Modernização e Gestão Tecnológica;10;0;10
Diretoria de Técnica;16;1;17
Procuradoria Jurídica;5;0;5
;119;6;125
