IRR SCIA NOVO;;
MÊS;QUANTIDADE MENSAL TRIADA (TON);APROVEITAMENTO ESPERADO (%)
Janeiro;206,2;32%
Fevereiro;242,4;43%
Março;115,7;32%
Julho;6,6;27%
Agosto;47,5;27%
Setembro;90,9;45%
Outubro;110,3;35%
Novembro;260,6;53%
Dezembro;198,6;48%
TOTAL;1.278,8;40%
