;;;SÓLIDOS URBANOS, COMPREENDENDO AS ATIVIDADES DE RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO FRUTO DESTA ATIVIDADE, PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF NA QNP 28 AE RUA S/N - USINA DE TRATAMENTO MECÂNICO BIOLÓGICO UTMB/SLU – CEILÂNDIA/DF;;;
21/2024;RECICLA MAIS;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS QUADRA 05 CONJUNTO D, LOTES 1 E 2 - PARANOÁ/DF;05/06/2025;R$ 481.849,12;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
22/2024;ACOBRAZ;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS AE – N° 02 LOTES I A L – SETOR NORTE – ÁREA DE TRANSBORDO DO SLU - BRAZLÂNDIA/DF.;05/06/2025;R$ 353.758,44;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
23/2024;COOPATIVA;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS S.I.A. TRECHO 17 LOTE 1.660/1.700 - BRASÍLIA/DF.;05/06/2025;R$ 289.109,47;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
24/2024;COOPERDIFE;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS QUADRA 04 – LOTES 07 E 08 – GALPÃO - SOBRADINHO/DF;05/06/2025;R$ 867.328,42;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
25/2024;RENOVE;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS L4 SUL, AE - USINA DE TRATAMENTO MECÂNICO BIOLÓGICO DO SLU - UTMB - ASA SUL - BRASÍLIA/DF;05/06/2025;R$ 982.662,32;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
26/2024;CATAGUAR;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS QNP 28 AE - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO - UTMB/SLU – CEILÂNDIA/DF.;05/06/2025;R$ 864.742,84;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
27/2024;RENASCER;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS SIA - TRECHO 17 - LOTE 1660/1700 - BRASÍLIA/DF;05/06/2025;R$ 337.294,39;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
28/2024;RECICLE A VIDA;05/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS QNM 28 MÓDULO B, AE – CEILÂNDIA/DF;05/06/2025;R$ 1.445.547,37;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
31/2024;RECICLA BRASÍLIA;28/06/2024;PROCESSAMENTO DE RESÍDUOS SÓLIDOS URBANOS, COMPREENDENDO AS ATIVIDADES DE RECEPÇÃO, TRIAGEM, PRENSAGEM, ENFARDAMENTO, ARMAZENAMENTO E COMERCIALIZAÇÃO FRUTO DESTA ATIVIDADE, PARA ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA – SLU/DF NO PÁTIO;28/06/2025;R$ 741.193,13;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES, ANDERSON FERNANDES DE MOURA, ADRIANA CESÁRIO DA CONCEIÇÃO
