;;;;;;;;Data de Assinatura;;;Data de;;;;;;;;;Valor Glo bal (R$)
;Nº;;;Empresa;;Objeto;;;;;;;;Informações;;;Contrato;;;
;;;;;;;;;;;Término;;;;;;;;;
1;;;CIEE;;;Estagiários;;24/02/2011 16/02/2012 22/02/2013 24/02/2014;;24/02/2012 23/02/2013 23/02/2014 23/02/2015;;;Pregão Eletrônico 767/2010;;;094.000.329/2010 1º Aditivo 2º Aditivo 3º Aditivo;;;1.465.808;
2;;;ICEP;;;Associação dos Portadores de Deficiência – Terceirizados;;02/01/2015 Assinatura 09/12/2014;;01/01/2016;;;Pregão Eletrônico 03/2014;;;094.001152/2013 1º Aditivo;;;1.596.030;
