;;;;;;AUTODESK ARCHITECTURE, ENGINEERING & CONSTRUCTION COLLECTION (AEC;;;;;;
;;;;;;COLLECTION) PELO PERÍODO DE 12 (DOZE) MESES, INCLUINDO TREINAMENTOS À;;;;;;
;;;;;;DISTÂNCIA (EAD) SOBRE AUTOCAD, REVIT, CIVIL 3D, INFRAWORKS,;;;;;;
;;;;;;NAVISWORKS, RECAP PRO E AUTODESK DOCS PARA 10 USUÁRIOS, PARA;;;;;;
;;;;;;ATENDIMENTO DAS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA;;;;;;
;;;;;;DO DISTRITO FEDERAL, CONFORME ESPECIFICAÇÕES E EXIGÊNCIAS DO EDITAL DE;;;;;;
;;;;;;LICITAÇÃO 90005/2024;;;;;;
49/2024;NP TECNOLOGIA E GESTÃO DE DADOS LTDA.;;;31/12/2024;;;;31/12/2025;R$ 11.960,00;;GABRIEL MENDES DOS SANTOS, MARCONE;
;;;;;;;;;;;MENDONÇA DE ARAÚJO;
44/2024;A2 SAÚDE AMBIENTAL.;;;25/11/2024;CONTROLE DE PRAGAS/DEDETIZAÇÃO;;;26/11/2025;R$ 1.113,10;;ANDERSON MUNIZ DE SOUSA, EDSON;
;;;;;;;;;;;RODRIGUES DA SILVA;
43/2024;FABIO ROCHA SIQUEIRA;;;25/10/2024;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONFECÇÃO E ENTREGA DE;;25/10/2025;R$ 1.033,50;ANDERSON MUNIZ DE SOUSA, EDSON RODRIGUES DA SILVA;;
;;;;;;CARIMBOS, SOB DEMANDA, A FIM DE ATENDER AS NECESSIDADES DO SLU-DF,;;;;;;
;;;;;;CONFORME ESPECIFICAÇÕES E QUANTITATIVOS APRESENTADOS NO TERMO DE;;;;;;
;;;;;;REFERÊNCIA;;;;;;
40/2024;LÍDER NOTEBOOKS COMÉRCIO E SERVIÇOS LTDA;;;07/11/2024;;O OBJETO DO PRESENTE TERMO DE CONTRATO É A AQUISIÇÃO CENTRALIZADA;;07/11/2025;R$ 269.583,00;LUIZ RIBEIRO VALE JUNIOR, FABIANO MAGALHAES SILVA;;
;;;;;;DE DESKTOP E NOTEBOOK, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS;;;;;;
;;;;;;ESTABELECIDOS NO EDITAL DO PREGÃO PARA REGISTRO DE PREÇOS Nº;;;;;;
;;;;;;331/2023 IDENTIFICADO NO PREÂMBULO E NA PROPOSTA VENCEDORA, OS;;;;;;
;;;;;;QUAIS INTEGRAM ESTE INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO.;;;;;;
29/2024;;EMPRESA BRASILEIRA DE CORREIOS E;;09/05/2024;FORNECIMENTO DE SERVIÇO DE VENDAS DE PRODUTOS DE CORREIOS;;;09/05/2025;R$ 1.635,20;;KARLA TEIXEIRA SANTOS, ROGER FRAGOSO;
;;TELEGRAFOS - ECT;;;;;;;;;SOUZA;
15/2024;NCT INFORMATICA LTDA;;;18/03/2024;LICENCIAMENTO DE EQUIPAMENTOS DE FIREWALL;;;17/03/2027;R$ 377.790,00;JULLIA SCHIAVOLINI, PERCILIO EUGENIO JUNIOR;;
21/2023;EMPRESA LUC ENGENHARIA E INTEGRAÇÃO DE SISTEMA DE SEGURANÇA LTD;;;23/11/2023;;O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;22/11/2026;R$ 16.680,89;JOÃO VICTOR PIRES DA SILVEIRA, GUSTAVO PIMENTEL RINALDI;;
;;;;;;PARA O FORNECIMENTO DE CONTROLADORAS E SOFTWARE PARA;;;;;;
;;;;;;AUTOMATIZAR AS CANCELAS DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO;;;;;;
;;;;;;FEDERAL, INCLUINDO A ENTREGA, IMPLANTAÇÃO, MANUTENÇÃO E ASSISTÊNCIA;;;;;;
;;;;;;TÉCNICA PELO PERÍODO DE 36 MESES.;;;;;;
18/2023;TECNOLTA EQUIPAMENTOS ELETRÔNICOS LTDA, NOS TERMOS DO PADRÃO Nº 04/2002.;;;23/11/2023;;A PRESTAÇÃO DE SERVIÇO DE OUTSOURCING DE IMPRESSÃO, CÓPIA E;;22/11/2027;R$ 908.870,40;FABIANO MAGALHÃES SILVA, MISAEL BATISTA DE SOUZA SILVA;;
;;;;;;DIGITALIZAÇÃO, COM DISPONIBILIZAÇÃO DE EQUIPAMENTOS;;;;;;
;;;;;;MONOCROMÁTICAS E POLICROMÁTICAS E SCANNERS, A SEREM CONTRATADOS;;;;;;
;;;;;;POR GRUPO, INCLUINDO INSTALAÇÃO, SUPORTE TÉCNICO E MANUTENÇÃO ON-;;;;;;
;;;;;;SITE (INCLUINDO PEÇAS), ALÉM DO FORNECIMENTO DE INSUMOS (TONER,;;;;;;
;;;;;;ROLETES, CARTUCHO, BASTÕES, CILINDROS, FUSORES), ORIENTAÇÃO DE;;;;;;
