;LOTE III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;
;Varrição manual;;R$ 2.753.259,75;;;R$ 2.633.684,99;;;R$ 2.965.879,29;;;R$ 2.894.928,77;;;R$ 3.155.195,52;;;R$ 3.168.146,30;;;R$ 3.242.196,89;;;R$ 3.428.550,02;;;R$ 3.173.793,03;;;R$ 3.178.159,06;;;R$ 2.989.276,53;;;R$ 3.493.168,09;;
;de vias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta Seletiva;;R$ 847.160,73;;;R$ 877.950,58;;;R$ 869.153,48;;;R$ 866.770,16;;;R$ 901.550,80;;;R$ 908.873,04;;;R$ 1.025.679,68;;;R$ 1.119.055,36;;;R$ 1.120.183,44;;;R$ 1.115.671,12;;;R$ 1.173.106,16;;;R$ 1.193.230,08;;
;Coleta;;R$ 3.338.674,34;;;R$ 2.979.799,82;;;R$ 3.075.596,25;;;R$ 2.928.085,46;;;R$ 2.931.133,47;;;R$ 2.804.493,01;;;R$ 3.179.068,83;;;R$ 3.831.522,25;;;R$ 3.789.753,79;;;R$ 3.869.558,92;;;R$ 4.347.072,58;;;R$ 5.080.576,74;;
;convencional de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RSU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Coleta manual;;R$ 242.866,71;;;R$ 242.866,71;;;R$ 242.866,71;;;R$ 257.114,70;;;R$ 255.971,97;;;R$ 257.114,70;;;R$ 277.678,62;;;R$ 295.304,85;;;R$ 295.304,85;;;R$ 292.679,92;;;R$ 305.323,47;;;R$ 305.323,47;;
;de entulhos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
