;ATENDIMENTO À IMPRENSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Janeiro;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;;TOTAL;
;Demandas;;;52;;;61;;;56;;;52;;;37;;;29;;;46;;;43;;;41;;;38;;;24;;;53;;;532;
