DIRETORIAS;PREENCHIDOS;VAGOS;TOTAL
PRESIDÊNCIA;30;0;30
DIRETORIA DE ADMINISTRACÃO E FINANÇAS;26;0;26
DIRETORIA DE LIMPEZA URBANA;38;0;38
DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;8;2;10
DIRETORIA TÉCNICA;17;0;17
PROCURADORIA JÚRIDICA;5;0;5
;124;2;126
