COBERTURA DA COLETA SELETIVA;;;;;;;
Empresas;;8;;;22,86%;;
Cooperativas e Empresas;;15;;;42,86%;;
Cooperativas;;10;;;28,57%;;
Sem coleta seletiva;;2;;;5,71%;;
TOTAL;;;35;;;94,29%;
