;FORÇA DE TRABALHO;;;;;;;;;;;;;;;;;
SERVIDORES;SERVIDORES;;;;ATIVIDADE - MEIO;;;;;;ATIVIDADE - FIM;;;;;TOTAL;TOTAL;
;;;;;COM CARGO;;;SEM CARGO;;;COM CARGO;;;SEM CARGO EM;;;;
;;;;;EM COMISSÃO;;;EM COMISSÃO;;;EM COMISSÃO;;;COMISSÃO;;;;
Efetivos (Quadro do GDF);;;;19;;;65;;;26;;;730;;;840;;
Comissionados (Sem vínculo efetivo);;;;57;;;0;;;6;;;0;;;63;;
REQUISITADOS;;Órgãos do GDF;;11;;;0;;;1;;;0;;;12;;
;;Órgãos Estaduais;;0;;;0;;;0;;;0;;;0;;
;;Órgãos do Governo Federal;;0;;;0;;;0;;;0;;;0;;
OUTROS;;Junta de Controle;;0;;;0;;;0;;;0;;;0;;
;;Menor Aprendiz/Jovem Candango;;0;;;13;;;0;;;31;;;44;;
;;Estagiários;;0;;;22;;;0;;;5;;;27;;
;;Terceirizados (FUNAP);;0;;;7;;;0;;;0;;;7;;
;;Terceirizados (Comissão Jovem);;0;;;48;;;0;;;5;;;53;;
;Subtotal (Força de Trabalho);;;;87;;;155;;;33;;;771;;;1.046;
;(-) Cedidos para outros órgãos;;;;0;;;0;;;0;;;259;;;259;
TOTAL GERAL SLU;;;;;87;;;155;;;33;;;512;;;787;
