DIRETORIAS;COM CARGO;SEM CARGO;TOTAL
PRESIDÊNCIA;30;16;46
DIRETORIA DE ADMINISTRACÃO E FINANÇAS;26;60;86
DIRETORIA DE LIMPEZA URBANA;38;582;620
DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;8;0;8
DIRETORIA TÉCNICA;17;2;19
PROCURADORIA JÚRIDICA;5;0;5
;124;660;784
