;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;Lote I;874,86;;819,98;776,62;798,48;767,87;704,26;885,82;850,42;798,61;959,26;992,30;900,79;10.129,27;844,11;
;Lote II;309,40;;278,53;226,48;288,73;321,02;275,39;229,12;229,18;201,36;291,84;299,53;306,83;3.257,41;271,45;
;Lote III;824,19;;728,15;793,05;823,60;782,33;758,17;759,37;688,89;674,29;846,93;948,81;811,01;9.438,79;786,57;
;Total;;2.008,45;1.826,66;1.796,15;1.910,81;1.871,22;1.737,82;1.874,31;1.768,49;1.674,26;2.098,03;2.240,64;2.018,63;22.825,47;1.902,12;
