;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;741,46;;;670,86;;;772,51;;;707,79;;;642,19;;;692,24;;;786,86;;;945,78;;;880,77;;;864,02;;;802,84;;;862,46;;;;9.369,78;;;780,82;
;Lote II;;671,32;;;551,72;;;636,14;;;563,80;;;479,47;;;465,21;;;505,78;;;483,66;;;441,49;;;405,63;;;491,23;;;360,10;;;;6.055,55;;;504,63;
;Lote III;;584,33;;;492,17;;;585,52;;;561,68;;;392,07;;;363,73;;;522,75;;;556,20;;;455,75;;;493,80;;;441,67;;;489,05;;;;5.938,72;;;494,89;
;Total;;;1.997,11;;;1.714,75;;;1.994,17;;;1.833,27;;;1.513,73;;;1.521,18;;;1.815,39;;;1.985,64;;;1.778,01;;;1.763,45;;;1.735,74;;;1.711,61;;;21.364,05;;;1.780,34;
