;ATENDIMENTO À IMPRENSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Janeiro;;;Fevereiro;;;Março;;;Abril;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;
;Emissoras de TV;;35;;;26;;;38;;;35;;31;;23;;;31;;;36;;;32;;;28;;;22;;;22;;
;Jornais;;7;;;2;;;4;;;8;;6;;2;;;5;;;6;;;2;;;3;;;5;;;5;;
;Portais;;7;;;7;;;3;;;8;;4;;6;;;5;;;3;;;2;;;5;;;-;;;-;;
;Emissoras de rádio;;-;;;2;;;-;;;5;;2;;-;;;1;;;6;;;2;;;-;;;3;;;3;;
;Outros;;2;;;3;;;6;;;5;;5;;2;;;1;;;2;;;5;;;4;;;1;;;1;;
;Total Parcial;;51;;;40;;;51;;;61;;48;;33;;;43;;;53;;;43;;;40;;;31;;;31;;
;TOTAL;;;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
