;APROVEITAMENTO NAS USINAS (UTMB);;;;;;;
;DADOS;;;Índice;;;Valor;
;Coleta convencional;;;Toneladas;;;302.296;
;Desvio para UTMB;;;Toneladas;;;14.669;
;Resíduos Comercializados nas UTMBs;;;Toneladas;;;12.049;
;Aproveitamento das UTMBs;;;%;;;3,8%;
