;;;;URBANOS RECICLÁVEIS SECOS;;;;
;;;;DOMICILIARES E COMERCIAIS, COM;;;;
;;;;A REMOÇÃO DO REJEITO PARA;;;;
;;;;DISPOSIÇÃO FINAL EM LOCAL;;;;
;;;;DEFINIDO PELO SLU PARA ATENDER;;;;
;;;;ÀS NECESSIDADES DO SERVIÇO DE;;;;
;;;;LIMPEZA URBANA – SLU/DF,;;;;
;;;;REFERENTE AO LOTE 6 - CRUZEIRO;;;;
;;;;VELHO;;;;
12/2022;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL - RECICLA BRASÍLIA;29/04/2022;;PRESTAÇÃO DE SERVIÇOS DE;;29/04/2023;R$ 657.068,52;FRANCISCO ANTONIO MANDES JORGE/ ISABELA NOVAIS OLIVEIRA / ALEXANDRO DOS SANTOS HENRIQUES / LUCAS DIOGO CAIXETA
;;;;COLETA, TRANSPORTE E;;;;
;;;;DESTINAÇÃO DE RESÍDUOS;;;;
;;;;URBANOS RECICLÁVEIS SECOS;;;;
;;;;DOMICILIARES E COMERCIAIS, COM;;;;
;;;;A REMOÇÃO DO REJEITO PARA;;;;
;;;;DISPOSIÇÃO FINAL EM LOCAL;;;;
;;;;DEFINIDO PELO SLU PARA ATENDER;;;;
;;;;ÀS NECESSIDADES DO SERVIÇO DE;;;;
;;;;LIMPEZA URBANA – SLU/DF,;;;;
;;;;REFERENTE AO LOTE 5 - LAGO SUL;;;;
11/2022;COOPERATIVA TRABALHO DE RECICLAGEM DO VARJÃO - CRV;29/04/2022;;PRESTAÇÃO DE SERVIÇOS DE;;29/04/2023;R$ 522.000,12;FRANCISCO ANTONIO MANDES JORGE/ ISABELA NOVAIS OLIVEIRA / ALEXANDRO DOS SANTOS HENRIQUES / LUCAS DIOGO CAIXETA
;;;;COLETA, TRANSPORTE E;;;;
;;;;DESTINAÇÃO DE RESÍDUOS;;;;
;;;;URBANOS RECICLÁVEIS SECOS;;;;
;;;;DOMICILIARES E COMERCIAIS, COM;;;;
;;;;A REMOÇÃO DO REJEITO PARA;;;;
;;;;DISPOSIÇÃO FINAL EM LOCAL;;;;
;;;;DEFINIDO PELO SLU PARA ATENDER;;;;
;;;;ÀS NECESSIDADES DO SERVIÇO DE;;;;
;;;;LIMPEZA URBANA – SLU/DF,;;;;
;;;;REFERENTE AO LOTE 4 - LAGO;;;;
;;;;NORTE E VARJÃO;;;;
10/2022;COOPERATIVA DE TRABALHO DE CATADORES ECOLIMPO;29/04/2022;;PRESTAÇÃO DE SERVIÇOS DE;;29/04/2023;R$ 568.805,84;FRANCISCO ANTONIO MANDES JORGE/ ISABELA NOVAIS OLIVEIRA / ALEXANDRO DOS SANTOS HENRIQUES / LUCAS DIOGO CAIXETA
;;;;COLETA, TRANSPORTE E;;;;
;;;;DESTINAÇÃO DE RESÍDUOS;;;;
;;;;URBANOS RECICLÁVEIS SECOS;;;;
;;;;DOMICILIARES E COMERCIAIS, COM;;;;
;;;;A REMOÇÃO DO REJEITO PARA;;;;
;;;;DISPOSIÇÃO FINAL EM LOCAL;;;;
;;;;DEFINIDO PELO SLU PARA ATENDER;;;;
;;;;ÀS NECESSIDADES DO SERVIÇO DE;;;;
;;;;LIMPEZA URBANA – SLU/DF,;;;;
;;;;REFERENTE AO LOTE 3 - SÃO;;;;
;;;;SEBASTIÃO E JARDIM MANGUEIRAL;;;;
37/2022;COOPERATIVA DE TRABALHO DOS CATADORES COOPERFÉ;29/07/2022;;PRESTAÇÃO DE SERVIÇO PÚBLICO;;29/07/2023;R$ 848.592,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES
;;;;DE PROCESSAMENTO DE;;;;
;;;;MATERIAIS RECICLÁVEIS NO;;;;
;;;;ENDEREÇO SCIA Q. 09, CONJUNTO;;;;
;;;;01, LOTE 02.;;;;
