;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
Lote I;829,63;684,65;704,74;666,56;530,70;544,41;665,93;722,48;801,13;828,12;778,55;764,78;8.521,68;710,14
Lote II;262,02;265,29;263,00;258,19;210,70;339,72;348,02;291,84;268,75;369,21;397,64;305,13;3.579,51;298,29
Lote III;245,11;341,24;466,87;613,29;538,08;705,03;747,34;792,21;1.034,42;1.120,96;1.079,35;1.090,710;8.774,61;731,22
Total;1.336,76;1.291,18;1.434,61;1.538,04;1.279,48;1.589,16;1.761,29;1.806,53;2.104,30;2.318,29;2.255,54;2.160,62;20.875,80;1.739,65
