;;Julho;;71,77;;;;;Julho;;90,69;;
;;Agosto;;60,64;;;;;Agosto;;85,56;;
;;Setembro;;59,68;;;;;Setembro;;93,26;;
;;Outubro;;32,46;;;;;Outubro;;104,59;;
;;Novembro;;65,89;;;;;Novembro;;98,85;;
;;Dezembro;;65,68;;;;;Dezembro;;93,34;;
;;TOTAL;;;755,133;;;;TOTAL;;;1022,18;
