Região Administrativa;;;Data;Público atingido estimado
;Sobradinho;;02/09/2021;300
;Gama;;16/09/2021;500
;Vila Planalto;;22/10/2021;150
;Guara;;05/09/2021;300
;São Sebastião;;30/09/2021;500
;Sudoeste;;17/09/2021;250
;Paranoá;;10/12/2021;500
