;CTR (CTR 1 E 2), IRR SAAN, IRR SCIA ALUGADO E SIA - TRECHO 17;;;;;;;
;Mês;;;Quantidade Mensal Recuperada (Ton);;;Aproveitamento (%);
;Janeiro;;839,28;;;;36%;
;Fevereiro;;821,23;;;;39%;
;Março;;631,23;;;;28%;
;Abril;;789,40;;;;37%;
;Maio;;840,98;;;;36%;
;Junho;;853,86;;;;39%;
;Julho;;958,78;;;;41%;
;Agosto;;904,55;;;;37%;
;Setembro;;718,18;;;;40%;
;Outubro;;840,50;;;;41%;
;Novembro;;859,01;;;;41%;
;Dezembro;;697,08;;;;38%;
;TOTAL;;;9.754,08;;;38%;
