;Contrato;Empresa;Data de assinatura/início da vigência;Objeto;Data do término da vigência;Valor (R$);Executores e Suplentes
1;08/2014;AGÊNCIA PLÁ;21.05.2014 - prorrogado em 22.05.2015;Serviços de publicidade;21.05.2016;TOTAL: 1.246.072,50;Avelange Pereira Durães/ Bruno Marques Pereira/ Patrícia Kelly Kavamoto Vieira/ Vinícius Andrade
2;21/2012;DEFENDER CONSERVAÇÃO E LIMPEZA;01.12.2012 Prorrogado em 01.12.2015;Fiscais de piso;30.11.2016;MENSAL: 317.833,26 ANUAL: 3.813.999,12;Jelington Henrique de Azevedo/ João Alves Tavares/ Sérgio Francisco Godinho
3;09/2015;FRAL CONSULTORIA;05.10.2015;Fiscalização e supervisão da implantação da Fase I do;05.03.2016;R$ 323.980,00;Edmundo Pacheco Gadelha/ Thiago Faquineli Timóteo
4;15/2014;GAE/ CONSTRUBAN/ DBO;10.09.2014;Aterro Sanitário Implantação e manutenção do Aterro Oeste;10.09.2019;GLOBAL: 82.745.120;Edmundo Pacheco Gadelha/ Thiago Faquineli Timóteo/ Jelington Henrique de Azevedo/ Robson Paiva da Silva
