;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;;16.021,16;;;14.811,96;;;16.220,42;;;15.151,44;;;16.699,40;;;16.408,62;;;15.985,41;;;15.329,22;;;14.597,12;;;16.285,26;;;13.875,95;;;12.379,49;;;183.765,45;;;15.313,79;
;Lote II;;;19.742,50;;;17.589,97;;;21.009,12;;;21.107,39;;;20.739,33;;;20.706,42;;;21.408,69;;;20.625,18;;;20.611,35;;;20.673,58;;;19.903,64;;;18.186,98;;;242.304,15;;;20.192,01;
;Lote III;;;17.275,80;;;16.208,17;;;16.361,28;;;20.683,24;;;20.115,71;;;17.691,33;;;18.026,00;;;18.093,11;;;17.444,42;;;18.697,28;;;19.271,09;;;17.715,87;;;217.583,30;;;18.131,94;
;Total;;;53.039,46;;;48.610,10;;;53.590,82;;;56.942,07;;;57.554,44;;;54.806,37;;;55.420,10;;;54.047,51;;;52.652,89;;;55.656,12;;;53.050,68;;;48.282,34;;;643.652,90;;;53.637,74;
