TAXA DE DISPOSIÇÃO FINAL EM ATERRO SANITÁRIO;;;;;;;;;;;;;;
;;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Média
2;Resíduos aterrados Jóquéi- J (em t);34.851,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.904,32
;Resíduos aterrados ASB - S (em t);37.520,32;65.330,30;69.412,34;64.629,58;60.443,67;60.735,13;58.377,48;63.977,69;60.071,84;67.930,437;68.462,65;72.717,16;62.467,38
;Total aterrado - T (em t);72.372,12;65.330,30;69.412,34;64.629,58;60.443,67;60.735,13;58.377,48;63.977,69;60.071,84;67.930,44;68.462,65;72.717,16;65.371,70
Resultado;I = S/T*100;51,84;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;95,56
