;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;152,82;;;162,24;;;145,11;;;142,80;;;131,73;;;124,24;;;151,66;;;123,45;;;127,74;;;151,13;;;143,09;;;123,74;;;;1.679,75;;;139,98;
;Asa sul;;100,53;;;67,85;;;79,43;;;103,15;;;85,90;;;89,49;;;106,99;;;101,45;;;85,48;;;98,11;;;84,61;;;117,07;;;;1.120,06;;;93,34;
;Brazlândia 1;;15,72;;;5,49;;;16,49;;;16,70;;;21,72;;;12,86;;;6,43;;;10,57;;;10,54;;;12,16;;;13,80;;;25,17;;;;167,65;;;13,97;
;Brazlândia 2;;0,00;;;10,13;;;20,12;;;12,05;;;9,28;;;5,25;;;12,44;;;7,02;;;6,20;;;24,21;;;3,69;;;17,20;;;;127,59;;;10,63;
;Ceilândia 1;;230,56;;;259,68;;;218,19;;;227,57;;;247,96;;;207,04;;;217,89;;;198,78;;;199,56;;;165,15;;;191,61;;;257,68;;;;2.621,67;;;218,47;
;Ceilândia 2;;214,56;;;327,65;;;284,11;;;293,54;;;321,79;;;316,81;;;304,10;;;323,98;;;325,06;;;314,11;;;251,07;;;222,72;;;;3.499,50;;;291,63;
;Gama 1;;278,22;;;209,89;;;109,29;;;172,85;;;173,46;;;165,01;;;179,33;;;231,27;;;178,24;;;206,50;;;184,86;;;251,29;;;;2.340,21;;;195,02;
;Gama 2;;5,16;;;38,79;;;189,67;;;113,89;;;126,68;;;124,14;;;141,50;;;115,06;;;132,29;;;154,91;;;146,97;;;134,06;;;;1.423,12;;;118,59;
;Guará 1;;169,98;;;179,92;;;163,09;;;146,41;;;183,64;;;150,39;;;190,76;;;165,82;;;122,82;;;150,89;;;128,53;;;314,45;;;;2.066,70;;;172,23;
;Guará 2;;137,52;;;156,06;;;166,92;;;160,87;;;142,97;;;150,19;;;154,36;;;155,89;;;144,02;;;176,90;;;145,85;;;114,10;;;;1.805,65;;;150,47;
;Paranoá;;133,90;;;115,12;;;117,28;;;150,21;;;135,36;;;168,32;;;142,35;;;158,90;;;170,03;;;179,22;;;122,16;;;150,12;;;;1.742,97;;;145,25;
;Planaltina;;170,67;;;161,05;;;153,63;;;169,49;;;151,48;;;126,96;;;168,19;;;143,65;;;130,48;;;148,45;;;121,96;;;94,73;;;;1.740,74;;;145,06;
;Pôr do Sol;;116,89;;;89,57;;;114,68;;;119,25;;;97,36;;;113,44;;;95,87;;;88,03;;;75,82;;;99,69;;;76,64;;;61,79;;;;1.149,03;;;95,75;
;Recanto das Emas;;73,50;;;98,03;;;109,30;;;129,40;;;103,88;;;109,98;;;118,98;;;126,14;;;117,84;;;131,86;;;108,73;;;128,84;;;;1.356,48;;;113,04;
;Samambaia;;86,46;;;96,75;;;123,89;;;114,68;;;150,41;;;135,93;;;126,85;;;157,76;;;135,95;;;153,35;;;127,11;;;157,38;;;;1.566,52;;;130,54;
;Santa Maria 1;;139,30;;;152,61;;;121,40;;;132,71;;;158,46;;;124,69;;;160,87;;;137,17;;;132,44;;;142,41;;;122,34;;;132,42;;;;1.656,82;;;138,07;
;Santa Maria 2;;0,00;;;15,64;;;54,60;;;39,66;;;59,03;;;41,89;;;65,95;;;63,91;;;59,40;;;54,05;;;49,33;;;58,89;;;;562,35;;;46,86;
;São Sebastião 1;;34,14;;;27,21;;;58,08;;;45,60;;;46,00;;;34,59;;;51,51;;;49,99;;;53,90;;;65,31;;;51,92;;;77,22;;;;595,47;;;49,62;
;São Sebastião 2;;4,43;;;24,96;;;52,27;;;74,09;;;51,00;;;64,97;;;64,12;;;65,83;;;59,79;;;68,12;;;51,55;;;69,56;;;;650,69;;;54,22;
;Sobradinho I - 1;;80,78;;;96,34;;;120,45;;;145,63;;;161,87;;;129,81;;;149,67;;;142,68;;;155,35;;;141,24;;;144,60;;;108,18;;;;1.576,60;;;131,38;
