;TIPO DE DESPESA;TOTAL;
;Pessoal técnico administrativo;-;
;Limpeza Pública;R$ 37.763.599;
;Obras /Materiais Permanentes;R$ 1.605.712;
;Manutenção Administrativa;R$ 240.100;
;TOTAL;R$ 39.609.411;
