;TIPO DE DESPESA;TOTAL;
;Pessoal técnico administrativo;R$ 1.701.745;
;Limpeza Pública;R$ 26.437.596;
;Obras /Materiais Permanentes;R$ 930.794;
;Outros;R$ 47.071;
;Manutenção Administrativa;R$ 855.070;
;TOTAL;R$ 29.972.277;
