SHSN Qd. 36 Conj. H - Madureira em frente à BA Reciclagem (Trecho I);Sol Nascente;62
SHSN Ch. 115 Lote 01 Loja 01 - Supermercado Ideal (Trecho III);Sol Nascente;63
SHSL Área Caesb, em frente à Rua 32 Qd. 39 Lote 61;Santa Luzia;64
SHSL próximo ao campo sintético mais para o início;Santa Luzia;65
SHSL Qd. 53 Lote 02;Santa Luzia;66
SHSL Rua 54 Qd. 53 Lote 117;Santa Luzia;67
SHPS Ch. 76 entre QNP 32 e 28;Pôr do Sol;68
SHPS 701/702 - em frente à Qd. 701 Conj. A casa 15;Pôr do Sol;69
SHPS 102 Lote 01;Pôr do Sol;70
SHSN AVC 311 Qd 204 - Zé Vaqueiro - Trecho II;Sol Nascente;71
SHSN AVC 311 Ch 98 Conj. K;Sol Nascente;72
SHSN EQNP 11/15 Blocos A a D;Sol Nascente;73
SHSN Ch. 115 A Conj. F1 Casa 31 A;Sol Nascente;74
SHSN Ch. 115 Conj. R Casa 08;Sol Nascente;75
Cond. Gênesis, Conj. V, Casa 724;Sol Nascente;76
SHSN Ch. 02 Conj. K1 Casa 30;Sol Nascente;77
SHSN Chácara São Pedro nº 55 B;Sol Nascente;78
SHSN Ch. 02 Conj. 01 Casa 30;Sol Nascente;79
SHSN Ch. 02 Conj. 1P Casa 36;Sol Nascente;80
SHSN Ch. 55 lote 07;Sol Nascente;81
SHSN Ch. 101 Asa 11 - Cond. Gilliard;Sol Nascente;82
