2º Suplente;Sema/DF;-
Titular;Seris/DF (Casa Civil);Luisvaldo Ferreira Almeida
1º Suplente;;Manuel Luiz Caçador
2º Suplente;;Maria de Fatima Muniz Guedes
Titular;SEEDF;Flávia Basso Rebelato
1ª Suplente;;George Castro Lopes
2º Suplente;;Maria Aparecida Serpa de Franca
Titular;SES/DF;Titular
1ª Suplente;;1ª Suplente
2º Suplente;;2º Suplente
Titular;Seagri/DF;Jose Lins de Albuquerque filho
1ª Suplente;;Gustavo Carvalho Paranhos
2º Suplente;;Mac Leonardo da Silva Souto
Titular;Crea/DF;Maria de Fátima Ribeiro Có
1ª Suplente;;Denilson Rodrigues Santana
2º Suplente;;Egomar Dickel
Titular;UnB;Francisco Javier Contreras Pineda
1º Suplente;;Izabel Cristina Bruno Barcellar Zaneti
2º Suplente;;Maria Vitória Duarte Ferrari
Titular;Corsap/DF-GO;Ronaldo Alves
1º Suplente;;Luciana Vilardo de Freitas Figueras
2º Suplente;;Wilma do Lago
