;Contrato;Empresa;Data de assinatura/início da vigência;Objeto;Data do término da vigência;Valor (R$);Executores e Suplentes
1;11/2014;COMERCIAL ARAÚJO;17.07.2014;Aquisição de bebedouros;17.08.2015;R$ 55.899,00;Adalci Azevedo Valentim / Lucrécia de Carvalho Silva
2;05/2015;CONNEC;11.05.2015;Aquisição de 01 central telefônica;11.08.2016;R$ 123.950,00;Roger Fragoso Souza/ Lucas Rocha Dourado da Silva
3;08/2015;GIOM COMÉRCIO;28.09.2015;Aquisição de mobiliário;28.09.2016;R$ 261.850,00;Lucrécia de Carvalho Silva/ Francisco Antonio Otaviano
4;14/2013;K.C.R;08.10.2013 Prorrogado em 31.12.2015;Aquisição de 03 balanças;31.03.2016;GLOBAL 148.500;Francisco Soares Filho/ Cícero Carlos Gomes de Lacerda
5;11/2015;K.C.R.S;09.12.2015;Aquisição de 02 balanças rodoviárias e a execução das obras de instalação;09.05.2016;GLOBAL: 299.870;Edmundo Pacheco Gadelha/ Thiago Faquineli Timóteo
