Convênios;;;;;;;;
Nº;Contrato;Empresa;Data de assinatura / início da vigência;Objeto;Término da vigência;Valor (R$);Executores e Suplentes;OBS
1;;;;;;;;
2;01/2013;NOVACAP Obra: NG Engenharia;12.07.2013;Repasse de recursos para construção do aterro;11.07.2018;R$ 4.347.725,68;Edmundo P. Gadelha/ Tiago Faquineli Timóteo/ Francisca S. Freire Dutra;Encerrado
3;04/2015;CAESB;29.10.2015;Elaboração de projetos, estudos, na prestação de contas da obra de bombeamento do chorume;29.10.2018;Não implica em transferência de recursos financeiros entre as partes;Edmundo Pacheco Gadelha/ Thiago Faquineli Timóteo;Encerrado
4;S/N-2018;INSTITUTO FEDERAL DE BRASÍLIA;16.01.2018;Treinamento/Capacitação;16.01.2019;Não implica em transferência de recursos financeiros entre as partes;sem informação;Vigente
5;03/2017;BRB;20.10.2017;Conta Vinculada - Acordo de Cooperação;20.10.2022;Não implica em transferência de recursos financeiros entre as partes;sem informação;Vigente
6;01/2018;SECRETARIA DE ESTADO DE SAÚDE;10.05.2018;Promoção da coleta, do transporte, destinação adequada e tratamento adequado do lixo hospitalar (RSS) provenientes de todos os estabelecimentos da rede de saúde SES/DF;10.05.2023;Valor será repassado à SES/DF para ressarcir o SLU/DF;sem informação;Vigente
